taxid	truth_taxid	count
243230	243230	24993
1063	272943	24979
1639	393123	24944
435590	435590	23311
1309	1074120	21884
1282	525376	20794
487	630588	20485
470	710094	20326
1351	749498	17531
562	585396	17466
290402	290402	15814
210	637913	15571
1596	1403312	14538
1301	1154870	14507
287	983918	14436
0	516950	13208
0	93062	13204
1396	526973	11516
1280	93062	11428
1311	1154870	10319
1313	516950	10145
1747	765105	9857
1747	765115	9519
637913	637913	9356
1520	290402	9131
287	208964	6750
543	585396	6334
1386	526973	5233
909768	710094	3767
1114966	765115	2710
86661	526973	2644
482	630588	2365
1734925	765115	2121
630588	630588	1958
1155071	1074120	1853
816	435590	1648
565651	749498	1543
0	525376	1328
516950	516950	1274
1206105	749498	1271
1198676	1074120	949
1380360	1403312	906
480119	710094	875
324831	1403312	870
226185	749498	812
361100	526973	485
561	585396	482
1091045	765105	463
52773	411466	402
405535	526973	371
2053832	526973	371
0	585396	369
1301	516950	342
1201292	749498	339
941193	983918	331
222523	526973	314
511691	1074120	303
1428	526973	235
46170	93062	193
1892404	526973	188
288681	526973	185
33959	1403312	172
308465	525376	168
637380	526973	166
585396	585396	157
1279	93062	153
1279	525376	147
1411700	983918	147
1450169	983918	141
1217984	526973	117
381754	983918	89
91347	585396	83
31957	765105	81
930170	526973	78
0	526973	73
1283	525376	73
405534	526973	70
0	1403312	68
0	983918	68
935589	630588	65
1427342	983918	64
1760	411466	64
526977	526973	64
1261557	749498	62
209	637913	62
1280	525376	61
1578	1403312	60
1852377	411466	58
1912216	765115	57
0	1154870	56
1637	393123	56
1309807	1154870	53
1449752	525376	53
1485	290402	50
644801	983918	49
12417	1403312	46
1045010	585396	46
53345	749498	46
1129146	983918	43
1114969	765115	41
1427374	1154870	41
171549	435590	39
1295	525376	39
176280	525376	39
29388	525376	38
334406	526973	38
935590	630588	36
909954	1403312	35
1405	526973	35
1408186	1403312	35
2	525376	34
671223	765105	32
1734925	765105	31
996285	983918	30
145391	525376	27
1415629	983918	26
1350	749498	26
633807	749498	25
279808	525376	24
1408272	983918	23
93062	93062	22
1454382	526973	22
1287066	749498	19
1423143	526973	19
1931241	983918	19
2060307	749498	19
43675	411466	18
111015	411466	18
208964	208964	18
246432	525376	18
1328859	585396	17
572264	526973	17
633699	1403312	17
469	710094	17
1883	411466	17
909420	630588	16
347495	526973	16
1654	411466	16
1236	710094	15
81852	749498	14
1060	272943	14
544580	411466	14
512566	516950	13
226900	526973	13
1123015	983918	13
1224	585396	13
1392	526973	13
662598	630588	12
1114966	765105	11
1960083	411466	11
69328	983918	10
935588	630588	10
1868596	983918	10
1078034	585396	10
1343064	525376	9
527021	526973	9
1224	630588	9
85006	411466	9
604162	630588	9
